name,value,year,lastValue,rank
Chennai Super Kings,98,2018,0,3
Delhi Daredevils,52,2018,51.2,6
Kings XI Punjab,52,2018,50.9,6
Kolkata Knight Riders,104,2018,103.5,2
Mumbai Indians,113,2018,112.3,1
Rjasthan Royals,43,2018,NA,8
Royal Challengers Bangalore,98,2018,97,3
Sunrisers Hyderabad,70,2018,68.6,5
Chennai Super Kings,NA,2017.9,NA,7
Delhi Daredevils,51.2,2017.9,50.4,5
Kings XI Punjab,50.9,2017.9,49.8,6
Kolkata Knight Riders,103.5,2017.9,103,2
Mumbai Indians,112.3,2017.9,111.6,1
Rjasthan Royals,NA,2017.9,NA,7
Royal Challengers Bangalore,97,2017.9,96,3
Sunrisers Hyderabad,68.6,2017.9,67.2,4
Chennai Super Kings,NA,2017.8,NA,7
Delhi Daredevils,50.4,2017.8,49.6,5
Kings XI Punjab,49.8,2017.8,48.7,6
Kolkata Knight Riders,103,2017.8,102.5,2
Mumbai Indians,111.6,2017.8,110.9,1
Rjasthan Royals,NA,2017.8,NA,7
Royal Challengers Bangalore,96,2017.8,95,3
Sunrisers Hyderabad,67.2,2017.8,65.8,4
Chennai Super Kings,NA,2017.7,NA,7
Delhi Daredevils,49.6,2017.7,48.8,5
Kings XI Punjab,48.7,2017.7,47.6,6
Kolkata Knight Riders,102.5,2017.7,102,2
Mumbai Indians,110.9,2017.7,110.2,1
Rjasthan Royals,NA,2017.7,NA,7
Royal Challengers Bangalore,95,2017.7,94,3
Sunrisers Hyderabad,65.8,2017.7,64.4,4
Chennai Super Kings,NA,2017.6,NA,7
Delhi Daredevils,48.8,2017.6,48.0,5
Kings XI Punjab,47.6,2017.6,46.5,6
Kolkata Knight Riders,102,2017.6,101.5,2
Mumbai Indians,110.2,2017.6,109.5,1
Rjasthan Royals,NA,2017.6,NA,7
Royal Challengers Bangalore,94,2017.6,93,3
Sunrisers Hyderabad,64.4,2017.6,63,4
Chennai Super Kings,NA,2017.5,NA,7
Delhi Daredevils,48.0,2017.5,47.2,5
Kings XI Punjab,46.5,2017.5,45.4,6
Kolkata Knight Riders,101.5,2017.5,101,2
Mumbai Indians,109.5,2017.5,108.8,1
Rjasthan Royals,NA,2017.5,NA,7
Royal Challengers Bangalore,93,2017.5,92,3
Sunrisers Hyderabad,63,2017.5,61.6,4
Chennai Super Kings,NA,2017.4,NA,7
Delhi Daredevils,47.2,2017.4,46.4,5
Kings XI Punjab,45.4,2017.4,44.3,6
Kolkata Knight Riders,101,2017.4,100.5,2
Mumbai Indians,108.8,2017.4,108.1,1
Rjasthan Royals,NA,2017.4,NA,7
Royal Challengers Bangalore,92,2017.4,91,3
Sunrisers Hyderabad,61.6,2017.4,60.2,4
Chennai Super Kings,NA,2017.3,NA,7
Delhi Daredevils,46.4,2017.3,45.6,5
